,lat,lon,lat_mod,lon_mod,Julian_Date,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,COG_T,SOG_K,pressure_B,wind_dir_T,wind_speed_M,rateofturn
930,4138.0463,7032.4299,41.634105,-70.5404983333,2458065.17,2017,11,7,16.0,4.0,48.3,662688.3,158.9,0.7,1.0215,42.6,3.0,0
931,4138.0462,7032.4299,41.6341033333,-70.5404983333,2458065.17001,2017,11,7,16.0,4.0,49.2,662689.2,159.7,0.7,1.0215,58.3,3.3,0
932,4138.0462,7032.4298,41.6341033333,-70.5404966667,2458065.17003,2017,11,7,16.0,4.0,50.3,662690.3,166.9,0.7,1.0215,56.3,3.4,0
933,4138.0462,7032.4297,41.6341033333,-70.540495,2458065.17004,2017,11,7,16.0,4.0,51.2,662691.2,187.5,0.5,1.0215,53.5,3.8,0
934,4138.0462,7032.4297,41.6341033333,-70.540495,2458065.17005,2017,11,7,16.0,4.0,52.3,662692.3,204.2,0.7,1.0215,52.9,4.4,0
935,4138.0462,7032.4297,41.6341033333,-70.540495,2458065.17006,2017,11,7,16.0,4.0,53.2,662693.2,214.7,0.7,1.0214,42.2,4.5,0
936,4138.0461,7032.4296,41.6341016667,-70.5404933333,2458065.17007,2017,11,7,16.0,4.0,54.2,662694.2,212.8,0.7,1.0215,34.8,3.9,0
937,4138.0461,7032.4296,41.6341016667,-70.5404933333,2458065.17008,2017,11,7,16.0,4.0,55.2,662695.2,214.4,0.9,1.0215,35.5,4.3,0
938,4138.0461,7032.4296,41.6341016667,-70.5404933333,2458065.17009,2017,11,7,16.0,4.0,56.2,662696.2,198.6,0.9,1.0215,22.4,4.6,0
939,4138.0461,7032.4295,41.6341016667,-70.5404916667,2458065.17011,2017,11,7,16.0,4.0,57.2,662697.2,176.6,0.9,1.0215,10.7,3.8,0
940,4138.0461,7032.4295,41.6341016667,-70.5404916667,2458065.17012,2017,11,7,16.0,4.0,58.3,662698.3,168.7,1.1,1.0215,31.2,4.4,0
941,4138.0461,7032.4295,41.6341016667,-70.5404916667,2458065.17013,2017,11,7,16.0,4.0,59.3,662699.3,171.4,1.1,1.0215,48.5,3.7,0
942,4138.046,7032.4295,41.6341,-70.5404916667,2458065.17014,2017,11,7,16.0,5.0,0.2,662700.2,190.4,0.9,1.0215,44.6,3.9,0
943,4138.046,7032.4295,41.6341,-70.5404916667,2458065.17015,2017,11,7,16.0,5.0,1.3,662701.3,195.0,0.9,1.0216,47.2,4.6,0
944,4138.046,7032.4294,41.6341,-70.54049,2458065.17016,2017,11,7,16.0,5.0,2.2,662702.2,191.8,0.7,1.0216,42.7,3.9,0
945,4138.0459,7032.4294,41.6340983333,-70.54049,2458065.17018,2017,11,7,16.0,5.0,3.2,662703.2,178.8,0.7,1.0216,60.1,2.7,0
946,4138.0459,7032.4294,41.6340983333,-70.54049,2458065.17019,2017,11,7,16.0,5.0,4.3,662704.3,190.6,0.5,1.0216,43.6,5.1,0
