,Time,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,Julian_Date,CH4_ppm,CO2_ppm,CH4_ppm_adjusted,CO2_ppm_adjusted
582,01/01/2000 00:09:48.969,2017,11,7,16.0,4.0,48.969,662688.969,2458065.17001,12.6275,1126.48,17.2689908748,329.418531017
583,01/01/2000 00:09:49.947,2017,11,7,16.0,4.0,49.947,662689.947,2458065.17002,12.5587,1124.41,17.16167016,328.81319727
584,01/01/2000 00:09:50.923,2017,11,7,16.0,4.0,50.923,662690.923,2458065.17003,12.5147,1123.9,17.0930348192,328.664057072
585,01/01/2000 00:09:51.899,2017,11,7,16.0,4.0,51.899,662691.899,2458065.17005,12.4654,1123.03,17.0161320396,328.409641439
586,01/01/2000 00:09:52.876,2017,11,7,16.0,4.0,52.876,662692.876,2458065.17006,12.4119,1122.63,16.9326777047,328.292668734
587,01/01/2000 00:09:53.853,2017,11,7,16.0,4.0,53.853,662693.853,2458065.17007,12.3565,1123.13,16.846259571,328.438884615
588,01/01/2000 00:09:54.830,2017,11,7,16.0,4.0,54.83,662694.83,2458065.17008,12.2955,1124.02,16.7511060303,328.699148883
589,01/01/2000 00:09:55.806,2017,11,7,16.0,4.0,55.806,662695.806,2458065.17009,12.242,1125.61,16.6676516954,329.164115385
590,01/01/2000 00:09:56.784,2017,11,7,16.0,4.0,56.784,662696.784,2458065.1701,12.18,1127.92,16.5709382606,329.839632754
591,01/01/2000 00:09:57.760,2017,11,7,16.0,4.0,57.76,662697.76,2458065.17011,12.1228,1129.95,16.4817123175,330.433269231
592,01/01/2000 00:09:58.737,2017,11,7,16.0,4.0,58.737,662698.737,2458065.17012,12.0747,1133.05,16.4066814109,331.339807692
593,01/01/2000 00:09:59.714,2017,11,7,16.0,4.0,59.714,662699.714,2458065.17014,12.033,1135.31,16.3416338265,332.000703474
594,01/01/2000 00:10:00.691,2017,11,7,16.0,5.0,0.691,662700.691,2458065.17015,12.0135,1139.83,16.3112158913,333.322495037
595,01/01/2000 00:10:01.668,2017,11,7,16.0,5.0,1.668,662701.668,2458065.17016,11.9844,1142.52,16.2658229727,334.109136476
596,01/01/2000 00:10:02.645,2017,11,7,16.0,5.0,2.645,662702.645,2458065.17017,11.9764,1144.94,16.2533438199,334.81682134
597,01/01/2000 00:10:03.623,2017,11,7,16.0,5.0,3.623,662703.623,2458065.17018,11.9796,1147.14,16.258335481,335.460171216
598,01/01/2000 00:10:04.600,2017,11,7,16.0,5.0,4.6,662704.6,2458065.17019,11.981,1149.21,16.2605193328,336.065504963
599,01/01/2000 00:10:05.576,2017,11,7,16.0,5.0,5.576,662705.576,2458065.1702,11.9835,1150.4,16.264419068,336.413498759
600,01/01/2000 00:10:06.554,2017,11,7,16.0,5.0,6.554,662706.554,2458065.17021,11.9955,1151.56,16.2831377974,336.752719603
601,01/01/2000 00:10:07.530,2017,11,7,16.0,5.0,7.53,662707.53,2458065.17023,12.0092,1151.93,16.3045083467,336.860919355
602,01/01/2000 00:10:08.507,2017,11,7,16.0,5.0,8.507,662708.507,2458065.17024,12.0227,1151.95,16.3255669171,336.86676799
603,01/01/2000 00:10:09.485,2017,11,7,16.0,5.0,9.485,662709.485,2458065.17025,12.0569,1151.3,16.3789152957,336.676687345
604,01/01/2000 00:10:10.460,2017,11,7,16.0,5.0,10.46,662710.46,2458065.17026,12.0834,1150.94,16.4202524896,336.571411911
605,01/01/2000 00:10:11.437,2017,11,7,16.0,5.0,11.437,662711.437,2458065.17027,12.1151,1148.75,16.4697011329,335.930986352
606,01/01/2000 00:10:12.414,2017,11,7,16.0,5.0,12.414,662712.414,2458065.17028,12.1451,1148.6,16.5164979562,335.887121588
607,01/01/2000 00:10:13.392,2017,11,7,16.0,5.0,13.392,662713.392,2458065.17029,12.1773,1146.69,16.5667265465,335.328576923
608,01/01/2000 00:10:14.369,2017,11,7,16.0,5.0,14.369,662714.369,2458065.17031,12.2009,1145.26,16.6035400475,334.910399504
609,01/01/2000 00:10:15.346,2017,11,7,16.0,5.0,15.346,662715.346,2458065.17032,12.2383,1143.06,16.6618800872,334.267049628
610,01/01/2000 00:10:16.322,2017,11,7,16.0,5.0,16.322,662716.322,2458065.17033,12.2781,1141.04,16.7239638728,333.676337469
611,01/01/2000 00:10:17.300,2017,11,7,16.0,5.0,17.3,662717.3,2458065.17034,12.3106,1139.84,16.7746604314,333.325419355
612,01/01/2000 00:10:18.277,2017,11,7,16.0,5.0,18.277,662718.277,2458065.17035,12.3485,1137.28,16.8337804181,332.576794045
