,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,ctd,gga,gga,gga,gga,gga,gga,gga,gga,gga,gga,gga,gga,op,op,op,op,op,op,op,op,op,op,op,op,op,pix,pix,pix,pix,pix,pix,pix,pix,pix,pix,pix,pix,nitrate,nitrate,nitrate,nitrate,nitrate,nitrate,nitrate,nitrate,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar,airmar
,Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,Time,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,CH4_ppm,CO2_ppm,CH4_ppm_adjusted,CO2_ppm_adjusted,posixtime,model,SN,O2Concentration,AirSaturation,Temperature,CalPhase,TCPhase,C1RPh,C2RPh,C1Amp,C2Amp,RawTemp,LineNo,TimeUS,Lat,Lng,Alt,RelAlt,Second,Hour,Minute,Day,Month,Year,11,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,lat,lon,lat_mod,lon_mod,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,COG_T,SOG_K,pressure_B,wind_dir_T,wind_speed_M,rateofturn
Julian_Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458065.17416,2017-11-07 16:10:47.500,0.0961876,15.3308105,10.2105836,0.0780836,0.0774469,0.0580018,1467.1689385,117.9754871,-0.904139,2017.0,11.0,7.0,16.0,10.0,47.5,663047.5,01/01/2000 00:15:47.500,2017.0,11.0,7.0,16.0,10.0,47.5,663047.5,10.935,1264.07,14.6288700938,369.654217122,1510074647.0,4831.0,277.0,286.236195833,91.4904741667,15.3071479167,32.8742645833,32.8742645833,41.3375020833,8.46323554167,824.6690875,930.3980625,360.080358333,1962950.0,2059850000.0,41.634,-70.54,17.055,9.0599,47.54,15.0,70.0,7.0,11.0,2017.0,16.9023529412,2017.0,11.0,7.0,16.0,10.0,47.6082352941,663047.608235,4138.03266667,7032.38466667,41.6338777778,-70.5397444444,2017.0,11.0,7.0,16.0,10.0,47.5666666667,663047.566667,92.76,4.45333333333,1.0214,346.66,3.82666666667,0.0
2458065.17685,2017-11-07 16:14:40.000,0.0933958,15.2855614,10.2094154,0.0769154,0.0762882,0.0564638,1467.0098901,114.6728575,-0.8983421,2017.0,11.0,7.0,16.0,14.0,40.0,663280.0,01/01/2000 00:19:40.000,2017.0,11.0,7.0,16.0,14.0,40.0,663280.0,12.1351,1277.94,16.5008990151,373.710245658,1510074879.43,4831.0,277.0,285.958997222,91.30989,15.2603897222,32.9074780556,32.9074780556,41.3636913889,8.45622075,817.216722222,925.005916667,361.606444444,2186250.0,2292350000.0,41.634,-70.537,17.875,10.011,40.04,15.0,74.0,7.0,11.0,2017.0,16.3914285714,2017.0,11.0,7.0,16.0,14.0,39.96888,663279.96888,4138.00402308,7032.17488462,41.6334003846,-70.5362480769,2017.0,11.0,7.0,16.0,14.0,39.9923076923,663279.992308,127.184615385,4.4,1.02126153846,22.6846153846,4.99230769231,0.0
2458065.18223,2017-11-07 16:22:25.000,0.0980685,15.219296,10.1981327,0.0656327,0.0650975,0.0591878,1466.7825129,120.5975213,-0.8860808,2017.0,11.0,7.0,16.0,22.0,25.0,663745.0,01/01/2000 00:27:25.000,2017.0,11.0,7.0,16.0,22.0,25.0,663745.0,11.5089,1273.96,15.5240933235,372.546367246,1510075344.49,4831.0,277.0,284.469716667,90.947325,15.3181429167,32.9412479167,32.9412479167,41.3845675,8.44332379167,813.5282125,921.5841125,359.721391667,2633450.0,2757350000.0,41.633,-70.532,18.14,9.4217,25.04,15.0,82.0,7.0,11.0,2017.0,16.5174603175,2017.0,11.0,7.0,16.0,22.0,25.0422857143,663745.042286,4138.03097143,7031.92837143,41.6338495238,-70.5321395238,2017.0,11.0,7.0,16.0,22.0,24.9857142857,663744.985714,330.214285714,5.7,1.02107857143,28.65,5.39285714286,0.0
2458065.18786,2017-11-07 16:30:31.500,0.0984276,15.3055794,10.5918268,0.4593268,0.4555811,0.0593001,1467.089098,120.7943033,-0.897451,2017.0,11.0,7.0,16.0,30.0,31.5,664231.5,01/01/2000 00:35:31.500,2017.0,11.0,7.0,16.0,30.0,31.5,664231.5,12.8357,1368.87,17.5937608285,400.301065757,1510075831.01,4831.0,277.0,284.684263889,91.0827611111,15.35228375,32.9164498611,32.9164498611,41.3526298611,8.43618069444,810.023613889,919.510591667,358.606758333,3101050.0,3243850000.0,41.637,-70.532,20.335,10.209,31.54,15.0,90.0,7.0,11.0,2017.0,16.8,2017.0,11.0,7.0,16.0,30.0,31.58016,664231.58016,4138.22706667,7031.8917,41.6371177778,-70.5315283333,2017.0,11.0,7.0,16.0,30.0,31.55,664231.55,304.45,3.1,1.02148333333,356.7,5.68333333333,0.0
2458065.18982,2017-11-07 16:33:20.500,0.0993859,15.2650179,10.8402227,0.7077227,0.7019515,0.0598887,1466.9528827,122.086417,-0.889576,2017.0,11.0,7.0,16.0,33.0,20.5,664400.5,01/01/2000 00:38:20.500,2017.0,11.0,7.0,16.0,33.0,20.5,664400.5,16.5695,1614.65,23.4180934559,472.174944169,1510076000.03,4831.0,277.0,283.601552778,90.7182316667,15.3429988889,32.9652330556,32.9652330556,41.3971506944,8.43192494444,810.936256944,919.222276389,358.910040278,3263433.33333,3412833333.33,41.638,-70.531,20.68,10.5526666667,20.5233333333,15.0,93.0,7.0,11.0,2017.0,16.8988571429,2017.0,11.0,7.0,16.0,33.0,20.5119771429,664400.511977,4138.29714,7031.87946,41.6382856667,-70.5313243333,2017.0,11.0,7.0,16.0,33.0,20.52,664400.52,55.68,2.48,1.0211,326.7,2.52,0.0
2458065.19056,2017-11-07 16:34:24.000,0.0972912,14.8577288,10.7569445,0.6244445,0.6193524,0.0591281,1465.526927,120.6663255,-0.828762,2017.0,11.0,7.0,16.0,34.0,24.0,664464.0,01/01/2000 00:39:24.000,2017.0,11.0,7.0,16.0,34.0,24.0,664464.0,31.8769,2198.23,47.2960165531,642.832271712,1510076063.48,4831.0,277.0,283.31854,90.6030162857,15.3303368571,32.9828228571,32.9828228571,41.4151765714,8.43235768571,811.353577143,919.15846,359.32338,3324650.0,3476350000.0,41.638,-70.531,20.035,10.9695,24.04,15.0,94.0,7.0,11.0,2017.0,16.9306792453,2017.0,11.0,7.0,16.0,34.0,24.0109584906,664464.010958,4138.30762308,7031.87963846,41.6384603846,-70.5313273077,2017.0,11.0,7.0,16.0,34.0,24.0153846154,664464.015385,174.207692308,0.823076923077,1.02106153846,7.3,1.63846153846,0.0
2458065.19325,2017-11-07 16:38:16.500,-0.0003582,12.0708065,10.1993991,0.0668991,0.0663536,0.006464,1455.3041752,-0.4756237,-0.503421,2017.0,11.0,7.0,16.0,38.0,16.5,664696.5,01/01/2000 00:43:16.500,2017.0,11.0,7.0,16.0,38.0,16.5,664696.5,3.74483,473.128,3.41296626195,138.357654591,1510076296.01,4831.0,277.0,284.746004478,91.0550508955,15.3280679104,32.9252755224,32.9252755224,41.3534849254,8.42820585075,808.643453731,918.898010448,359.397543284,3547950.0,3708850000.0,41.638,-70.531,19.11,10.603,16.54,15.0,98.0,7.0,11.0,2017.0,16.8411764706,2017.0,11.0,7.0,16.0,38.0,16.5376235294,664696.537624,4138.2799,7031.8811,41.6379983333,-70.5313516667,2017.0,11.0,7.0,16.0,37.0,0.4,664620.4,196.7,1.1,1.0214,23.3,2.2,0.0
2458065.20573,2017-11-07 16:56:15.000,0.0989499,15.2002915,16.4433029,6.3108029,6.2593406,0.059706,1466.8185165,121.7357167,-0.8536328,2017.0,11.0,7.0,16.0,56.0,15.0,665775.0,01/01/2000 01:01:15.000,2017.0,11.0,7.0,16.0,56.0,15.0,665775.0,11.8056,1308.55,15.9869139059,382.661581886,1510077374.42,4831.0,277.0,287.342231343,91.8043238806,15.2870749254,32.8387659701,32.8387659701,41.2545716418,8.41580937313,803.593143284,917.99631791,360.735458209,4584650.0,4787350000.0,41.634,-70.532,20.6,11.3975,15.04,16.0,56.0,7.0,11.0,2017.0,16.2590909091,2017.0,11.0,7.0,16.0,56.0,15.0212727273,665775.021273,4138.2799,7031.8811,41.6379983333,-70.5313516667,2017.0,11.0,7.0,16.0,37.0,0.4,664620.4,196.7,1.1,1.0214,23.3,2.2,0.0
2458065.20842,2017-11-07 17:00:07.500,0.098618,15.2670969,12.75374,2.62124,2.5998647,0.0594479,1466.9906995,121.1372528,-0.8813151,2017.0,11.0,7.0,17.0,0.0,7.5,666007.5,01/01/2000 01:05:07.500,2017.0,11.0,7.0,17.0,0.0,7.5,666007.5,11.7272,1215.95,15.8646182077,355.582400744,1510077606.96,4831.0,277.0,286.632459701,91.5800329851,15.288329403,32.8669667164,32.8669667164,41.2796589552,8.41269019403,803.918843284,917.74450597,360.694477612,4808150.0,5019850000.0,41.632,-70.532,18.93,11.8215,7.54,16.0,60.0,7.0,11.0,2017.0,16.4678125,2017.0,11.0,7.0,17.0,0.0,7.59144375,666007.591444,4138.2799,7031.8811,41.6379983333,-70.5313516667,2017.0,11.0,7.0,16.0,37.0,0.4,664620.4,196.7,1.1,1.0214,23.3,2.2,0.0
2458065.21111,2017-11-07 17:04:00.000,0.0989839,15.1924914,13.2371717,3.1046717,3.0793542,0.0597361,1466.7392458,121.799885,-0.8673674,2017.0,11.0,7.0,17.0,4.0,0.0,666240.0,01/01/2000 01:09:00.000,2017.0,11.0,7.0,17.0,4.0,0.0,666240.0,11.3633,1173.19,15.2969727411,343.07801861,1510077839.41,4831.0,277.0,286.138425373,91.3748637313,15.2642850746,32.8983377612,32.8983377612,41.3097826866,8.41144446269,791.227338806,917.559867164,361.479422388,5031350.0,5252350000.0,41.631,-70.532,19.05,11.949,30.04,16.0,63.5,7.0,11.0,2017.0,16.3471875,2017.0,11.0,7.0,17.0,3.78125,13.121925,666239.996925,4138.2799,7031.8811,41.6379983333,-70.5313516667,2017.0,11.0,7.0,16.0,37.0,0.4,664620.4,196.7,1.1,1.0214,23.3,2.2,0.0
2458065.2138,2017-11-07 17:07:52.500,0.099466,15.2007512,15.7853791,5.6528791,5.6067819,0.0600003,1466.8097759,122.3693132,-0.8565437,2017.0,11.0,7.0,17.0,7.0,52.5,666472.5,01/01/2000 01:12:52.500,2017.0,11.0,7.0,17.0,7.0,52.5,666472.5,11.4376,1235.85,15.4128728735,361.401792804,1510078071.95,4831.0,277.0,283.481774627,90.6476435821,15.3264270149,32.9779355224,32.9779355224,41.388991194,8.41105885075,796.435965672,916.623108955,359.451122388,5254750.0,5484850000.0,41.633,-70.532,18.46,12.814,52.54,16.0,67.0,7.0,11.0,2017.0,16.686969697,2017.0,11.0,7.0,17.0,7.0,52.5256363636,666472.525636,4138.2799,7031.8811,41.6379983333,-70.5313516667,2017.0,11.0,7.0,16.0,37.0,0.4,664620.4,196.7,1.1,1.0214,23.3,2.2,0.0
