,Julian_Date,11,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed
351,2458065.17001,16.65,2017,11,7,16,4,48.8172,662688.8172
352,2458065.17004,16.57,2017,11,7,16,4,51.2724,662691.2724
353,2458065.17007,16.24,2017,11,7,16,4,53.6988,662693.6988
354,2458065.1701,15.93,2017,11,7,16,4,56.3376,662696.3376
357,2458065.17017,16.19,2017,11,7,16,5,2.688,662702.688
358,2458065.1702,16.23,2017,11,7,16,5,5.13239999999,662705.1324
359,2458065.17023,16.35,2017,11,7,16,5,7.5984,662707.5984
360,2458065.17026,16.81,2017,11,7,16,5,10.0428,662710.0428
361,2458065.17028,15.93,2017,11,7,16,5,12.5016,662712.5016
362,2458065.17031,16.17,2017,11,7,16,5,14.928,662714.928
363,2458065.17034,16.34,2017,11,7,16,5,17.3868,662717.3868
364,2458065.17037,16.35,2017,11,7,16,5,19.8348,662719.8348
365,2458065.1704,16.37,2017,11,7,16,5,22.2936,662722.2936
366,2458065.17043,16.6,2017,11,7,16,5,24.72,662724.72
369,2458065.1705,16.3,2017,11,7,16,5,31.11,662731.11
370,2458065.17053,16.34,2017,11,7,16,5,33.5292,662733.5292
371,2458065.17056,16.55,2017,11,7,16,5,35.97,662735.97
372,2458065.17058,16.2,2017,11,7,16,5,38.454,662738.454
373,2458065.17061,16.56,2017,11,7,16,5,40.8912,662740.8912
374,2458065.17064,16.57,2017,11,7,16,5,43.3536,662743.3536
375,2458065.17067,16.51,2017,11,7,16,5,45.7872,662745.7872
376,2458065.1707,16.34,2017,11,7,16,5,48.246,662748.246
377,2458065.17073,16.47,2017,11,7,16,5,50.676,662750.676
378,2458065.17075,16.56,2017,11,7,16,5,53.1384,662753.1384
381,2458065.17083,16.51,2017,11,7,16,5,59.4816,662759.4816
382,2458065.17086,16.36,2017,11,7,16,6,1.92959999999,662761.9296
383,2458065.17088,16.18,2017,11,7,16,6,4.35600000001,662764.356
384,2458065.17091,15.93,2017,11,7,16,6,6.8004,662766.8004
385,2458065.17094,16.16,2017,11,7,16,6,9.2664,662769.2664
386,2458065.17097,16.26,2017,11,7,16,6,11.7144,662771.7144
387,2458065.171,16.95,2017,11,7,16,6,14.1768,662774.1768
388,2458065.17103,16.91,2017,11,7,16,6,16.6068,662776.6068
389,2458065.17105,16.04,2017,11,7,16,6,19.0692,662779.0692
390,2458065.17108,16.01,2017,11,7,16,6,21.5028,662781.5028
393,2458065.17116,16.36,2017,11,7,16,6,27.8892,662787.8892
394,2458065.17118,16.33,2017,11,7,16,6,30.3228,662790.3228
395,2458065.17121,16.7,2017,11,7,16,6,32.796,662792.796
396,2458065.17124,16.7,2017,11,7,16,6,35.2188,662795.2188
397,2458065.17127,16.68,2017,11,7,16,6,37.6632,662797.6632
398,2458065.1713,16.75,2017,11,7,16,6,40.086,662800.086
399,2458065.17133,16.57,2017,11,7,16,6,42.5304,662802.5304
400,2458065.17135,16.35,2017,11,7,16,6,44.9964,662804.9964
401,2458065.17138,16.29,2017,11,7,16,6,47.4264,662807.4264
402,2458065.17141,16.69,2017,11,7,16,6,49.8888,662809.8888
405,2458065.17148,16.6,2017,11,7,16,6,56.2356,662816.2356
406,2458065.17151,16.6,2017,11,7,16,6,58.6872,662818.6872
407,2458065.17154,16.89,2017,11,7,16,7,1.1136,662821.1136
408,2458065.17157,16.47,2017,11,7,16,7,3.5652,662823.5652
409,2458065.1716,16.42,2017,11,7,16,7,6.0096,662826.0096
410,2458065.17163,16.39,2017,11,7,16,7,8.454,662828.454
411,2458065.17165,16.73,2017,11,7,16,7,10.8768,662830.8768
412,2458065.17168,17.05,2017,11,7,16,7,13.3212,662833.3212
413,2458065.17171,16.8,2017,11,7,16,7,15.7836,662835.7836
414,2458065.17174,16.45,2017,11,7,16,7,18.2136,662838.2136
417,2458065.17181,16.48,2017,11,7,16,7,24.5964,662844.5964
418,2458065.17184,16.8,2017,11,7,16,7,27.0264,662847.0264
419,2458065.17187,16.7,2017,11,7,16,7,29.4816,662849.4816
420,2458065.1719,16.33,2017,11,7,16,7,31.908,662851.908
421,2458065.17193,16.8,2017,11,7,16,7,34.3776,662854.3776
422,2458065.17195,16.47,2017,11,7,16,7,36.8004,662856.8004
423,2458065.17198,16.32,2017,11,7,16,7,39.2592,662859.2592
424,2458065.17201,16.2,2017,11,7,16,7,41.6856,662861.6856
425,2458065.17204,16.5,2017,11,7,16,7,44.1264,662864.1264
426,2458065.17207,16.6,2017,11,7,16,7,46.5924,662866.5924
429,2458065.17214,16.8,2017,11,7,16,7,52.95,662872.95
430,2458065.17217,16.63,2017,11,7,16,7,55.4052,662875.4052
431,2458065.1722,16.34,2017,11,7,16,7,57.8352,662877.8352
432,2458065.17223,16.29,2017,11,7,16,8,0.2832,662880.2832
433,2458065.17225,16.73,2017,11,7,16,8,2.7132,662882.7132
434,2458065.17228,16.98,2017,11,7,16,8,5.1576,662885.1576
435,2458065.17231,16.67,2017,11,7,16,8,7.5876,662887.5876
436,2458065.17234,16.44,2017,11,7,16,8,10.0464,662890.0464
437,2458065.17237,16.84,2017,11,7,16,8,12.4728,662892.4728
438,2458065.17239,16.54,2017,11,7,16,8,14.9172,662894.9172
441,2458065.17247,16.75,2017,11,7,16,8,21.3072,662901.3072
442,2458065.1725,16.46,2017,11,7,16,8,23.7408,662903.7408
443,2458065.17253,16.55,2017,11,7,16,8,26.196,662906.196
444,2458065.17255,16.29,2017,11,7,16,8,28.626,662908.626
445,2458065.17258,16.72,2017,11,7,16,8,31.074,662911.074
446,2458065.17261,16.74,2017,11,7,16,8,33.5076,662913.5076
448,2458065.17267,16.63,2017,11,7,16,8,38.4972,662918.4972
449,2458065.1727,16.1,2017,11,7,16,8,41.0352,662921.0352
450,2458065.17273,16.18,2017,11,7,16,8,43.4616,662923.4616
453,2458065.1728,16.77,2017,11,7,16,8,49.8516,662929.8516
454,2458065.17283,16.52,2017,11,7,16,8,52.3032,662932.3032
455,2458065.17286,16.68,2017,11,7,16,8,54.7296,662934.7296
456,2458065.17288,16.41,2017,11,7,16,8,57.1812,662937.1812
457,2458065.17291,16.51,2017,11,7,16,8,59.6076,662939.6076
458,2458065.17294,16.66,2017,11,7,16,9,2.0556,662942.0556
459,2458065.17297,16.38,2017,11,7,16,9,4.482,662944.482
460,2458065.173,17.0,2017,11,7,16,9,6.9516,662946.9516
461,2458065.17303,16.69,2017,11,7,16,9,9.3744,662949.3744
462,2458065.17305,16.85,2017,11,7,16,9,11.8188,662951.8188
465,2458065.17313,16.52,2017,11,7,16,9,18.1692,662958.1692
466,2458065.17316,16.12,2017,11,7,16,9,20.5992,662960.5992
467,2458065.17318,16.4,2017,11,7,16,9,23.0544,662963.0544
469,2458065.17324,16.85,2017,11,7,16,9,27.9576,662967.9576
470,2458065.17327,16.44,2017,11,7,16,9,30.3912,662970.3912
471,2458065.1733,16.43,2017,11,7,16,9,32.8464,662972.8464
472,2458065.17333,16.53,2017,11,7,16,9,35.3016,662975.3016
473,2458065.17335,16.4,2017,11,7,16,9,37.7496,662977.7496
474,2458065.17338,15.99,2017,11,7,16,9,40.1724,662980.1724
477,2458065.17346,16.29,2017,11,7,16,9,46.5552,662986.5552
478,2458065.17348,16.34,2017,11,7,16,9,49.014,662989.014
479,2458065.17351,16.8,2017,11,7,16,9,51.444,662991.444
480,2458065.17354,16.11,2017,11,7,16,9,53.9028,662993.9028
481,2458065.17357,16.63,2017,11,7,16,9,56.3328,662996.3328
482,2458065.1736,16.91,2017,11,7,16,9,58.7844,662998.7844
483,2458065.17363,16.53,2017,11,7,16,10,1.21440000001,663001.2144
484,2458065.17365,16.77,2017,11,7,16,10,3.66600000001,663003.666
485,2458065.17368,16.66,2017,11,7,16,10,6.096,663006.096
486,2458065.17371,16.78,2017,11,7,16,10,8.5476,663008.5476
489,2458065.17378,16.36,2017,11,7,16,10,14.9232,663014.9232
490,2458065.17381,16.92,2017,11,7,16,10,17.3532,663017.3532
491,2458065.17384,16.27,2017,11,7,16,10,19.812,663019.812
492,2458065.17387,16.62,2017,11,7,16,10,22.242,663022.242
493,2458065.1739,16.98,2017,11,7,16,10,24.6972,663024.6972
494,2458065.17393,16.85,2017,11,7,16,10,27.1344,663027.1344
495,2458065.17395,17.06,2017,11,7,16,10,29.5896,663029.5896
496,2458065.17398,16.82,2017,11,7,16,10,32.0196,663032.0196
497,2458065.17401,16.71,2017,11,7,16,10,34.4712,663034.4712
498,2458065.17404,16.62,2017,11,7,16,10,36.9264,663036.9264
501,2458065.17411,16.7,2017,11,7,16,10,43.2768,663043.2768
502,2458065.17414,16.52,2017,11,7,16,10,45.75,663045.75
503,2458065.17417,17.02,2017,11,7,16,10,48.18,663048.18
504,2458065.1742,16.97,2017,11,7,16,10,50.6388,663050.6388
505,2458065.17423,16.51,2017,11,7,16,10,53.0724,663053.0724
507,2458065.17428,16.71,2017,11,7,16,10,57.9612,663057.9612
508,2458065.17431,16.63,2017,11,7,16,11,0.412800000007,663060.4128
509,2458065.17434,16.81,2017,11,7,16,11,2.8428,663062.8428
510,2458065.17437,16.74,2017,11,7,16,11,5.2944,663065.2944
513,2458065.17444,16.83,2017,11,7,16,11,11.6772,663071.6772
514,2458065.17447,16.96,2017,11,7,16,11,14.1072,663074.1072
515,2458065.1745,16.91,2017,11,7,16,11,16.566,663076.566
516,2458065.17453,16.6,2017,11,7,16,11,19.0068,663079.0068
517,2458065.17455,16.71,2017,11,7,16,11,21.4728,663081.4728
518,2458065.17458,16.74,2017,11,7,16,11,23.9028,663083.9028
519,2458065.17461,16.47,2017,11,7,16,11,26.358,663086.358
520,2458065.17464,16.72,2017,11,7,16,11,28.788,663088.788
521,2458065.17467,16.96,2017,11,7,16,11,31.2468,663091.2468
522,2458065.1747,16.84,2017,11,7,16,11,33.6804,663093.6804
525,2458065.17477,16.42,2017,11,7,16,11,40.0596,663100.0596
526,2458065.1748,16.66,2017,11,7,16,11,42.522,663102.522
527,2458065.17483,16.86,2017,11,7,16,11,44.9556,663104.9556
528,2458065.17485,16.88,2017,11,7,16,11,47.4144,663107.4144
529,2458065.17488,16.55,2017,11,7,16,11,49.8588,663109.8588
530,2458065.17491,16.73,2017,11,7,16,11,52.3212,663112.3212
531,2458065.17494,16.54,2017,11,7,16,11,54.7548,663114.7548
532,2458065.17497,16.2,2017,11,7,16,11,57.2208,663117.2208
533,2458065.175,16.55,2017,11,7,16,11,59.6508,663119.6508
534,2458065.17502,16.25,2017,11,7,16,12,2.106,663122.106
537,2458065.1751,16.72,2017,11,7,16,12,8.4888,663128.4888
539,2458065.17516,16.98,2017,11,7,16,12,13.4028,663133.4028
540,2458065.17518,16.92,2017,11,7,16,12,15.8292,663135.8292
541,2458065.17521,15.94,2017,11,7,16,12,18.3888,663138.3888
542,2458065.17524,16.56,2017,11,7,16,12,20.9088,663140.9088
543,2458065.17527,16.69,2017,11,7,16,12,23.3676,663143.3676
544,2458065.1753,16.65,2017,11,7,16,12,25.794,663145.794
545,2458065.17533,16.63,2017,11,7,16,12,28.2492,663148.2492
546,2458065.17536,16.78,2017,11,7,16,12,30.6792,663150.6792
549,2458065.17543,16.74,2017,11,7,16,12,37.0836,663157.0836
550,2458065.17546,16.05,2017,11,7,16,12,39.5064,663159.5064
551,2458065.17549,16.73,2017,11,7,16,12,41.9508,663161.9508
552,2458065.17551,16.74,2017,11,7,16,12,44.4132,663164.4132
553,2458065.17554,16.52,2017,11,7,16,12,46.8432,663166.8432
554,2458065.17557,16.56,2017,11,7,16,12,49.3056,663169.3056
555,2458065.1756,16.26,2017,11,7,16,12,51.7536,663171.7536
556,2458065.17563,16.1,2017,11,7,16,12,54.2124,663174.2124
557,2458065.17566,16.04,2017,11,7,16,12,56.6496,663176.6496
558,2458065.17568,15.88,2017,11,7,16,12,59.1048,663179.1048
561,2458065.17576,16.55,2017,11,7,16,13,5.448,663185.448
562,2458065.17579,17.06,2017,11,7,16,13,7.896,663187.896
563,2458065.17581,16.15,2017,11,7,16,13,10.3188,663190.3188
564,2458065.17584,16.6,2017,11,7,16,13,12.7668,663192.7668
565,2458065.17587,16.55,2017,11,7,16,13,15.24,663195.24
566,2458065.1759,16.49,2017,11,7,16,13,17.6808,663197.6808
567,2458065.17593,16.7,2017,11,7,16,13,20.1432,663200.1432
568,2458065.17596,16.35,2017,11,7,16,13,22.5768,663202.5768
569,2458065.17598,16.4,2017,11,7,16,13,25.0356,663205.0356
570,2458065.17601,16.41,2017,11,7,16,13,27.4656,663207.4656
573,2458065.17609,16.52,2017,11,7,16,13,33.8448,663213.8448
574,2458065.17611,16.66,2017,11,7,16,13,36.2964,663216.2964
575,2458065.17614,16.04,2017,11,7,16,13,38.7444,663218.7444
576,2458065.17617,16.36,2017,11,7,16,13,41.1672,663221.1672
577,2458065.1762,16.65,2017,11,7,16,13,43.6116,663223.6116
578,2458065.17623,16.46,2017,11,7,16,13,46.038,663226.038
579,2458065.17626,16.16,2017,11,7,16,13,48.4824,663228.4824
580,2458065.17628,16.41,2017,11,7,16,13,50.9556,663230.9556
581,2458065.17631,16.73,2017,11,7,16,13,53.3856,663233.3856
582,2458065.17634,16.36,2017,11,7,16,13,55.8516,663235.8516
585,2458065.17641,16.61,2017,11,7,16,14,2.1984,663242.1984
586,2458065.17644,16.9,2017,11,7,16,14,4.65,663244.65
587,2458065.17647,16.38,2017,11,7,16,14,7.07639999999,663247.0764
588,2458065.1765,16.43,2017,11,7,16,14,9.52799999999,663249.528
590,2458065.17656,16.22,2017,11,7,16,14,14.3952,663254.3952
591,2458065.17658,16.7,2017,11,7,16,14,16.8216,663256.8216
592,2458065.17661,16.24,2017,11,7,16,14,19.266,663259.266
593,2458065.17664,16.11,2017,11,7,16,14,21.7284,663261.7284
594,2458065.17667,16.32,2017,11,7,16,14,24.2592,663264.2592
597,2458065.17674,16.73,2017,11,7,16,14,30.7608,663270.7608
598,2458065.17677,16.92,2017,11,7,16,14,33.1908,663273.1908
599,2458065.1768,16.11,2017,11,7,16,14,35.6388,663275.6388
600,2458065.17683,16.7,2017,11,7,16,14,38.0832,663278.0832
601,2458065.17686,16.3,2017,11,7,16,14,40.5276,663280.5276
602,2458065.17689,16.43,2017,11,7,16,14,42.954,663282.954
603,2458065.17691,16.38,2017,11,7,16,14,45.4164,663285.4164
604,2458065.17694,16.19,2017,11,7,16,14,47.8788,663287.8788
605,2458065.17697,16.54,2017,11,7,16,14,50.3268,663290.3268
606,2458065.177,16.2,2017,11,7,16,14,52.7856,663292.7856
609,2458065.17707,16.56,2017,11,7,16,14,59.1792,663299.1792
610,2458065.1771,16.12,2017,11,7,16,15,1.64879999999,663301.6488
611,2458065.17713,16.54,2017,11,7,16,15,4.07520000001,663304.0752
612,2458065.17716,16.57,2017,11,7,16,15,6.5232,663306.5232
613,2458065.17719,15.96,2017,11,7,16,15,8.94959999999,663308.9496
614,2458065.17722,16.03,2017,11,7,16,15,11.394,663311.394
615,2458065.17724,15.88,2017,11,7,16,15,13.9212,663313.9212
616,2458065.17727,16.61,2017,11,7,16,15,16.3656,663316.3656
617,2458065.1773,15.96,2017,11,7,16,15,18.8352,663318.8352
618,2458065.17733,16.62,2017,11,7,16,15,21.276,663321.276
621,2458065.1774,16.58,2017,11,7,16,15,27.666,663327.666
622,2458065.17743,16.45,2017,11,7,16,15,30.096,663330.096
623,2458065.17746,16.64,2017,11,7,16,15,32.5476,663332.5476
624,2458065.17749,16.14,2017,11,7,16,15,34.9812,663334.9812
625,2458065.17752,16.46,2017,11,7,16,15,37.4292,663337.4292
626,2458065.17754,16.44,2017,11,7,16,15,39.8772,663339.8772
627,2458065.17757,16.39,2017,11,7,16,15,42.3252,663342.3252
628,2458065.1776,16.46,2017,11,7,16,15,44.7552,663344.7552
629,2458065.17763,16.21,2017,11,7,16,15,47.1996,663347.1996
630,2458065.17766,16.32,2017,11,7,16,15,49.6224,663349.6224
633,2458065.17773,16.69,2017,11,7,16,15,56.0052,663356.0052
634,2458065.17776,16.54,2017,11,7,16,15,58.4604,663358.4604
635,2458065.17779,16.44,2017,11,7,16,16,0.894000000003,663360.894
636,2458065.17782,16.29,2017,11,7,16,16,3.34919999999,663363.3492
637,2458065.17784,16.45,2017,11,7,16,16,5.7792,663365.7792
638,2458065.17787,16.67,2017,11,7,16,16,8.2272,663368.2272
639,2458065.1779,16.62,2017,11,7,16,16,10.6572,663370.6572
640,2458065.17793,16.88,2017,11,7,16,16,13.1052,663373.1052
641,2458065.17796,16.33,2017,11,7,16,16,15.528,663375.528
642,2458065.17799,16.14,2017,11,7,16,16,17.976,663377.976
645,2458065.17806,16.16,2017,11,7,16,16,24.3336,663384.3336
646,2458065.17809,16.3,2017,11,7,16,16,26.7672,663386.7672
647,2458065.17812,16.37,2017,11,7,16,16,29.2296,663389.2296
648,2458065.17814,16.26,2017,11,7,16,16,31.6596,663391.6596
649,2458065.17817,16.49,2017,11,7,16,16,34.1148,663394.1148
650,2458065.1782,16.45,2017,11,7,16,16,36.5484,663396.5484
651,2458065.17823,16.54,2017,11,7,16,16,38.9964,663398.9964
652,2458065.17826,16.39,2017,11,7,16,16,41.4444,663401.4444
653,2458065.17829,16.32,2017,11,7,16,16,43.8924,663403.8924
654,2458065.17831,16.36,2017,11,7,16,16,46.3188,663406.3188
659,2458065.17844,16.25,2017,11,7,16,16,57.5976,663417.5976
660,2458065.17847,16.38,2017,11,7,16,17,0.0491999999969,663420.0492
661,2458065.1785,16.22,2017,11,7,16,17,2.4936,663422.4936
662,2458065.17853,16.09,2017,11,7,16,17,4.9452,663424.9452
663,2458065.17856,16.54,2017,11,7,16,17,7.37520000001,663427.3752
664,2458065.17859,16.44,2017,11,7,16,17,9.8232,663429.8232
665,2458065.17861,16.48,2017,11,7,16,17,12.2532,663432.2532
666,2458065.17864,16.52,2017,11,7,16,17,14.7012,663434.7012
669,2458065.17872,16.77,2017,11,7,16,17,21.066,663441.066
670,2458065.17874,16.48,2017,11,7,16,17,23.4924,663443.4924
671,2458065.17877,16.58,2017,11,7,16,17,25.9512,663445.9512
672,2458065.1788,16.48,2017,11,7,16,17,28.3812,663448.3812
673,2458065.17883,16.44,2017,11,7,16,17,30.84,663450.84
674,2458065.17886,16.4,2017,11,7,16,17,33.288,663453.288
675,2458065.17889,16.51,2017,11,7,16,17,35.7396,663455.7396
676,2458065.17891,16.57,2017,11,7,16,17,38.1732,663458.1732
677,2458065.17894,16.6,2017,11,7,16,17,40.65,663460.65
678,2458065.17897,16.43,2017,11,7,16,17,43.0764,663463.0764
681,2458065.17904,16.49,2017,11,7,16,17,49.4196,663469.4196
682,2458065.17907,16.19,2017,11,7,16,17,51.8784,663471.8784
683,2458065.1791,16.11,2017,11,7,16,17,54.3084,663474.3084
685,2458065.17916,16.21,2017,11,7,16,17,59.1972,663479.1972
686,2458065.17919,16.16,2017,11,7,16,18,1.7496,663481.7496
687,2458065.17922,16.5,2017,11,7,16,18,4.45680000001,663484.4568
688,2458065.17925,16.86,2017,11,7,16,18,6.93360000001,663486.9336
689,2458065.17927,16.8,2017,11,7,16,18,9.3564,663489.3564
690,2458065.1793,16.34,2017,11,7,16,18,11.808,663491.808
693,2458065.17938,16.79,2017,11,7,16,18,18.1764,663498.1764
694,2458065.17941,16.75,2017,11,7,16,18,20.6028,663500.6028
695,2458065.17943,16.48,2017,11,7,16,18,23.058,663503.058
696,2458065.17946,16.45,2017,11,7,16,18,25.4988,663505.4988
697,2458065.17949,16.06,2017,11,7,16,18,27.9576,663507.9576
698,2458065.17952,16.35,2017,11,7,16,18,30.3876,663510.3876
699,2458065.17955,16.01,2017,11,7,16,18,32.8428,663512.8428
700,2458065.17957,16.48,2017,11,7,16,18,35.2728,663515.2728
701,2458065.1796,16.43,2017,11,7,16,18,37.728,663517.728
702,2458065.17963,16.56,2017,11,7,16,18,40.1544,663520.1544
705,2458065.17971,16.36,2017,11,7,16,18,46.5444,663526.5444
706,2458065.17973,16.82,2017,11,7,16,18,49.0032,663529.0032
707,2458065.17976,16.3,2017,11,7,16,18,51.4332,663531.4332
708,2458065.17979,16.13,2017,11,7,16,18,53.892,663533.892
709,2458065.17982,16.41,2017,11,7,16,18,56.322,663536.322
710,2458065.17985,16.62,2017,11,7,16,18,58.7808,663538.7808
711,2458065.17988,16.28,2017,11,7,16,19,1.2072,663541.2072
712,2458065.1799,16.32,2017,11,7,16,19,3.68040000001,663543.6804
713,2458065.17993,16.58,2017,11,7,16,19,6.10680000001,663546.1068
714,2458065.17996,16.49,2017,11,7,16,19,8.56200000001,663548.562
717,2458065.18003,16.48,2017,11,7,16,19,14.9376,663554.9376
718,2458065.18006,16.5,2017,11,7,16,19,17.382,663557.382
720,2458065.18012,16.57,2017,11,7,16,19,22.2924,663562.2924
721,2458065.18015,16.76,2017,11,7,16,19,24.7512,663564.7512
722,2458065.18018,16.62,2017,11,7,16,19,27.1776,663567.1776
723,2458065.1802,16.79,2017,11,7,16,19,29.6328,663569.6328
724,2458065.18023,16.42,2017,11,7,16,19,32.0664,663572.0664
725,2458065.18026,16.73,2017,11,7,16,19,34.5216,663574.5216
726,2458065.18029,16.58,2017,11,7,16,19,36.948,663576.948
729,2458065.18036,16.89,2017,11,7,16,19,43.3488,663583.3488
730,2458065.18039,16.86,2017,11,7,16,19,45.8148,663585.8148
731,2458065.18042,16.05,2017,11,7,16,19,48.2412,663588.2412
732,2458065.18045,16.62,2017,11,7,16,19,50.7,663590.7
733,2458065.18048,16.52,2017,11,7,16,19,53.13,663593.13
734,2458065.1805,16.61,2017,11,7,16,19,55.5924,663595.5924
735,2458065.18053,16.82,2017,11,7,16,19,58.044,663598.044
736,2458065.18056,16.6,2017,11,7,16,20,0.506399999996,663600.5064
737,2458065.18059,16.21,2017,11,7,16,20,2.9364,663602.9364
738,2458065.18062,16.52,2017,11,7,16,20,5.3916,663605.3916
741,2458065.18069,16.26,2017,11,7,16,20,11.7312,663611.7312
742,2458065.18072,16.6,2017,11,7,16,20,14.1792,663614.1792
743,2458065.18075,16.98,2017,11,7,16,20,16.6452,663616.6452
744,2458065.18078,16.72,2017,11,7,16,20,19.0788,663619.0788
745,2458065.1808,16.74,2017,11,7,16,20,21.5412,663621.5412
746,2458065.18083,16.83,2017,11,7,16,20,23.9712,663623.9712
747,2458065.18086,16.1,2017,11,7,16,20,26.4372,663626.4372
748,2458065.18089,16.63,2017,11,7,16,20,28.8636,663628.8636
749,2458065.18092,16.58,2017,11,7,16,20,31.3224,663631.3224
750,2458065.18095,16.25,2017,11,7,16,20,33.756,663633.756
753,2458065.18102,16.44,2017,11,7,16,20,40.1244,663640.1244
754,2458065.18105,16.68,2017,11,7,16,20,42.576,663642.576
755,2458065.18108,16.42,2017,11,7,16,20,45.0168,663645.0168
756,2458065.18111,16.59,2017,11,7,16,20,47.49,663647.49
757,2458065.18113,16.37,2017,11,7,16,20,49.9236,663649.9236
758,2458065.18116,16.38,2017,11,7,16,20,52.3824,663652.3824
759,2458065.18119,16.4,2017,11,7,16,20,54.816,663654.816
760,2458065.18122,16.85,2017,11,7,16,20,57.2784,663657.2784
761,2458065.18125,16.45,2017,11,7,16,20,59.7084,663659.7084
762,2458065.18128,16.49,2017,11,7,16,21,2.1708,663662.1708
765,2458065.18135,16.62,2017,11,7,16,21,8.514,663668.514
767,2458065.1814,16.96,2017,11,7,16,21,13.3884,663673.3884
768,2458065.18143,16.69,2017,11,7,16,21,15.8364,663675.8364
769,2458065.18146,16.52,2017,11,7,16,21,18.3024,663678.3024
770,2458065.18149,16.54,2017,11,7,16,21,20.7432,663680.7432
771,2458065.18152,16.15,2017,11,7,16,21,23.2056,663683.2056
772,2458065.18155,16.72,2017,11,7,16,21,25.6356,663685.6356
773,2458065.18158,16.31,2017,11,7,16,21,28.0944,663688.0944
774,2458065.1816,16.44,2017,11,7,16,21,30.528,663690.528
777,2458065.18168,16.06,2017,11,7,16,21,36.9,663696.9
778,2458065.18171,16.34,2017,11,7,16,21,39.33,663699.33
779,2458065.18173,16.45,2017,11,7,16,21,41.7744,663701.7744
780,2458065.18176,16.52,2017,11,7,16,21,44.226,663704.226
781,2458065.18179,17.0,2017,11,7,16,21,46.674,663706.674
782,2458065.18182,16.33,2017,11,7,16,21,49.14,663709.14
783,2458065.18185,16.9,2017,11,7,16,21,51.57,663711.57
784,2458065.18188,16.01,2017,11,7,16,21,54.0468,663714.0468
785,2458065.1819,16.66,2017,11,7,16,21,56.4768,663716.4768
786,2458065.18193,16.23,2017,11,7,16,21,58.9356,663718.9356
789,2458065.18201,16.55,2017,11,7,16,22,5.34,663725.34
790,2458065.18203,16.48,2017,11,7,16,22,7.78440000001,663727.7844
791,2458065.18206,16.6,2017,11,7,16,22,10.2144,663730.2144
792,2458065.18209,16.96,2017,11,7,16,22,12.6588,663732.6588
793,2458065.18212,16.7,2017,11,7,16,22,15.0816,663735.0816
794,2458065.18215,16.73,2017,11,7,16,22,17.526,663737.526
796,2458065.1822,16.52,2017,11,7,16,22,22.4292,663742.4292
797,2458065.18223,16.51,2017,11,7,16,22,24.9024,663744.9024
801,2458065.18233,16.98,2017,11,7,16,22,33.7152,663753.7152
802,2458065.18236,16.58,2017,11,7,16,22,36.1416,663756.1416
803,2458065.18239,16.25,2017,11,7,16,22,38.5932,663758.5932
804,2458065.18242,16.52,2017,11,7,16,22,41.0124,663761.0124
805,2458065.18245,16.3,2017,11,7,16,22,43.482,663763.482
806,2458065.18248,16.52,2017,11,7,16,22,45.9444,663765.9444
807,2458065.1825,16.52,2017,11,7,16,22,48.3852,663768.3852
808,2458065.18253,16.78,2017,11,7,16,22,50.8512,663770.8512
809,2458065.18256,16.18,2017,11,7,16,22,53.2812,663773.2812
810,2458065.18259,16.72,2017,11,7,16,22,55.758,663775.758
813,2458065.18266,16.1,2017,11,7,16,23,2.112,663782.112
814,2458065.18269,16.74,2017,11,7,16,23,4.56,663784.56
815,2458065.18272,16.68,2017,11,7,16,23,6.9864,663786.9864
816,2458065.18275,16.4,2017,11,7,16,23,9.4308,663789.4308
817,2458065.18278,16.3,2017,11,7,16,23,11.8572,663791.8572
818,2458065.1828,16.85,2017,11,7,16,23,14.3016,663794.3016
819,2458065.18283,16.29,2017,11,7,16,23,16.7676,663796.7676
